FC
Epoch: 1
[epoch:1, iter:1] Loss: 2.310 | Acc: 8.594%
[epoch:1, iter:11] Loss: 2.171 | Acc: 19.105%
[epoch:1, iter:21] Loss: 2.127 | Acc: 22.024%
[epoch:1, iter:31] Loss: 2.100 | Acc: 22.606%
[epoch:1, iter:41] Loss: 2.067 | Acc: 24.409%
[epoch:1, iter:51] Loss: 2.040 | Acc: 25.169%
[epoch:1, iter:61] Loss: 2.006 | Acc: 26.422%
[epoch:1, iter:71] Loss: 1.981 | Acc: 27.553%
[epoch:1, iter:81] Loss: 1.971 | Acc: 27.971%
[epoch:1, iter:91] Loss: 1.963 | Acc: 28.443%
[epoch:1, iter:101] Loss: 1.955 | Acc: 28.775%
[epoch:1, iter:111] Loss: 1.947 | Acc: 28.970%
[epoch:1, iter:121] Loss: 1.935 | Acc: 29.526%
[epoch:1, iter:131] Loss: 1.924 | Acc: 29.890%
[epoch:1, iter:141] Loss: 1.912 | Acc: 30.181%
[epoch:1, iter:151] Loss: 1.904 | Acc: 30.588%
[epoch:1, iter:161] Loss: 1.898 | Acc: 30.876%
[epoch:1, iter:171] Loss: 1.892 | Acc: 31.131%
[epoch:1, iter:181] Loss: 1.889 | Acc: 31.388%
[epoch:1, iter:191] Loss: 1.880 | Acc: 31.679%
[epoch:1, iter:201] Loss: 1.873 | Acc: 31.961%
[epoch:1, iter:211] Loss: 1.869 | Acc: 32.194%
[epoch:1, iter:221] Loss: 1.864 | Acc: 32.399%
[epoch:1, iter:231] Loss: 1.860 | Acc: 32.572%
[epoch:1, iter:241] Loss: 1.854 | Acc: 32.774%
[epoch:1, iter:251] Loss: 1.850 | Acc: 32.956%
[epoch:1, iter:261] Loss: 1.845 | Acc: 33.196%
[epoch:1, iter:271] Loss: 1.838 | Acc: 33.369%
[epoch:1, iter:281] Loss: 1.837 | Acc: 33.410%
[epoch:1, iter:291] Loss: 1.834 | Acc: 33.529%
[epoch:1, iter:301] Loss: 1.833 | Acc: 33.617%
[epoch:1, iter:311] Loss: 1.830 | Acc: 33.699%
[epoch:1, iter:321] Loss: 1.827 | Acc: 33.737%
[epoch:1, iter:331] Loss: 1.823 | Acc: 33.842%
[epoch:1, iter:341] Loss: 1.821 | Acc: 33.956%
[epoch:1, iter:351] Loss: 1.817 | Acc: 34.070%
[epoch:1, iter:361] Loss: 1.813 | Acc: 34.226%
[epoch:1, iter:371] Loss: 1.810 | Acc: 34.377%
[epoch:1, iter:381] Loss: 1.807 | Acc: 34.502%
[epoch:1, iter:391] Loss: 1.804 | Acc: 34.640%
Waiting Test...
Test's ac is: 39.900%

Epoch: 2
[epoch:2, iter:392] Loss: 1.579 | Acc: 45.312%
[epoch:2, iter:402] Loss: 1.658 | Acc: 40.199%
[epoch:2, iter:412] Loss: 1.680 | Acc: 39.881%
[epoch:2, iter:422] Loss: 1.687 | Acc: 39.012%
[epoch:2, iter:432] Loss: 1.674 | Acc: 39.520%
[epoch:2, iter:442] Loss: 1.675 | Acc: 39.614%
[epoch:2, iter:452] Loss: 1.680 | Acc: 39.344%
[epoch:2, iter:462] Loss: 1.682 | Acc: 39.415%
[epoch:2, iter:472] Loss: 1.685 | Acc: 39.284%
[epoch:2, iter:482] Loss: 1.688 | Acc: 39.337%
[epoch:2, iter:492] Loss: 1.685 | Acc: 39.480%
[epoch:2, iter:502] Loss: 1.686 | Acc: 39.464%
[epoch:2, iter:512] Loss: 1.685 | Acc: 39.360%
[epoch:2, iter:522] Loss: 1.681 | Acc: 39.635%
[epoch:2, iter:532] Loss: 1.679 | Acc: 39.594%
[epoch:2, iter:542] Loss: 1.673 | Acc: 39.782%
[epoch:2, iter:552] Loss: 1.673 | Acc: 39.800%
[epoch:2, iter:562] Loss: 1.671 | Acc: 39.807%
[epoch:2, iter:572] Loss: 1.668 | Acc: 39.900%
[epoch:2, iter:582] Loss: 1.664 | Acc: 40.032%
[epoch:2, iter:592] Loss: 1.661 | Acc: 40.143%
[epoch:2, iter:602] Loss: 1.659 | Acc: 40.155%
[epoch:2, iter:612] Loss: 1.656 | Acc: 40.296%
[epoch:2, iter:622] Loss: 1.653 | Acc: 40.429%
[epoch:2, iter:632] Loss: 1.650 | Acc: 40.479%
[epoch:2, iter:642] Loss: 1.649 | Acc: 40.569%
[epoch:2, iter:652] Loss: 1.651 | Acc: 40.574%
[epoch:2, iter:662] Loss: 1.651 | Acc: 40.527%
[epoch:2, iter:672] Loss: 1.649 | Acc: 40.589%
[epoch:2, iter:682] Loss: 1.647 | Acc: 40.703%
[epoch:2, iter:692] Loss: 1.648 | Acc: 40.661%
[epoch:2, iter:702] Loss: 1.645 | Acc: 40.796%
[epoch:2, iter:712] Loss: 1.643 | Acc: 40.808%
[epoch:2, iter:722] Loss: 1.643 | Acc: 40.804%
[epoch:2, iter:732] Loss: 1.641 | Acc: 40.866%
[epoch:2, iter:742] Loss: 1.641 | Acc: 40.870%
[epoch:2, iter:752] Loss: 1.640 | Acc: 40.850%
[epoch:2, iter:762] Loss: 1.639 | Acc: 40.911%
[epoch:2, iter:772] Loss: 1.637 | Acc: 40.955%
[epoch:2, iter:782] Loss: 1.636 | Acc: 40.990%
Waiting Test...
Test's ac is: 40.710%

Epoch: 3
[epoch:3, iter:783] Loss: 1.636 | Acc: 35.938%
[epoch:3, iter:793] Loss: 1.564 | Acc: 43.750%
[epoch:3, iter:803] Loss: 1.563 | Acc: 44.010%
[epoch:3, iter:813] Loss: 1.574 | Acc: 43.548%
[epoch:3, iter:823] Loss: 1.579 | Acc: 43.407%
[epoch:3, iter:833] Loss: 1.577 | Acc: 43.612%
[epoch:3, iter:843] Loss: 1.570 | Acc: 43.584%
[epoch:3, iter:853] Loss: 1.565 | Acc: 44.047%
[epoch:3, iter:863] Loss: 1.567 | Acc: 43.750%
[epoch:3, iter:873] Loss: 1.566 | Acc: 43.750%
[epoch:3, iter:883] Loss: 1.568 | Acc: 43.673%
[epoch:3, iter:893] Loss: 1.570 | Acc: 43.637%
[epoch:3, iter:903] Loss: 1.570 | Acc: 43.666%
[epoch:3, iter:913] Loss: 1.565 | Acc: 43.774%
[epoch:3, iter:923] Loss: 1.568 | Acc: 43.672%
[epoch:3, iter:933] Loss: 1.566 | Acc: 43.729%
[epoch:3, iter:943] Loss: 1.567 | Acc: 43.692%
[epoch:3, iter:953] Loss: 1.567 | Acc: 43.622%
[epoch:3, iter:963] Loss: 1.564 | Acc: 43.685%
[epoch:3, iter:973] Loss: 1.565 | Acc: 43.644%
[epoch:3, iter:983] Loss: 1.566 | Acc: 43.575%
[epoch:3, iter:993] Loss: 1.565 | Acc: 43.554%
[epoch:3, iter:1003] Loss: 1.565 | Acc: 43.598%
[epoch:3, iter:1013] Loss: 1.565 | Acc: 43.632%
[epoch:3, iter:1023] Loss: 1.565 | Acc: 43.630%
[epoch:3, iter:1033] Loss: 1.565 | Acc: 43.703%
[epoch:3, iter:1043] Loss: 1.564 | Acc: 43.738%
[epoch:3, iter:1053] Loss: 1.563 | Acc: 43.796%
[epoch:3, iter:1063] Loss: 1.563 | Acc: 43.772%
[epoch:3, iter:1073] Loss: 1.564 | Acc: 43.737%
[epoch:3, iter:1083] Loss: 1.564 | Acc: 43.677%
[epoch:3, iter:1093] Loss: 1.562 | Acc: 43.763%
[epoch:3, iter:1103] Loss: 1.561 | Acc: 43.825%
[epoch:3, iter:1113] Loss: 1.561 | Acc: 43.913%
[epoch:3, iter:1123] Loss: 1.561 | Acc: 43.878%
[epoch:3, iter:1133] Loss: 1.561 | Acc: 43.859%
[epoch:3, iter:1143] Loss: 1.562 | Acc: 43.808%
[epoch:3, iter:1153] Loss: 1.562 | Acc: 43.805%
[epoch:3, iter:1163] Loss: 1.561 | Acc: 43.830%
[epoch:3, iter:1173] Loss: 1.559 | Acc: 43.910%
Waiting Test...
Test's ac is: 42.920%

Epoch: 4
[epoch:4, iter:1174] Loss: 1.645 | Acc: 39.844%
[epoch:4, iter:1184] Loss: 1.542 | Acc: 43.182%
[epoch:4, iter:1194] Loss: 1.522 | Acc: 44.048%
[epoch:4, iter:1204] Loss: 1.546 | Acc: 43.926%
[epoch:4, iter:1214] Loss: 1.550 | Acc: 43.941%
[epoch:4, iter:1224] Loss: 1.550 | Acc: 43.796%
[epoch:4, iter:1234] Loss: 1.545 | Acc: 43.942%
[epoch:4, iter:1244] Loss: 1.543 | Acc: 43.970%
[epoch:4, iter:1254] Loss: 1.534 | Acc: 44.416%
[epoch:4, iter:1264] Loss: 1.535 | Acc: 44.531%
[epoch:4, iter:1274] Loss: 1.530 | Acc: 44.802%
[epoch:4, iter:1284] Loss: 1.529 | Acc: 44.904%
[epoch:4, iter:1294] Loss: 1.527 | Acc: 44.990%
[epoch:4, iter:1304] Loss: 1.524 | Acc: 45.146%
[epoch:4, iter:1314] Loss: 1.524 | Acc: 45.240%
[epoch:4, iter:1324] Loss: 1.526 | Acc: 45.199%
[epoch:4, iter:1334] Loss: 1.529 | Acc: 45.128%
[epoch:4, iter:1344] Loss: 1.527 | Acc: 45.166%
[epoch:4, iter:1354] Loss: 1.526 | Acc: 45.230%
[epoch:4, iter:1364] Loss: 1.525 | Acc: 45.218%
[epoch:4, iter:1374] Loss: 1.525 | Acc: 45.270%
[epoch:4, iter:1384] Loss: 1.522 | Acc: 45.335%
[epoch:4, iter:1394] Loss: 1.522 | Acc: 45.366%
[epoch:4, iter:1404] Loss: 1.521 | Acc: 45.380%
[epoch:4, iter:1414] Loss: 1.519 | Acc: 45.494%
[epoch:4, iter:1424] Loss: 1.517 | Acc: 45.574%
[epoch:4, iter:1434] Loss: 1.519 | Acc: 45.483%
[epoch:4, iter:1444] Loss: 1.518 | Acc: 45.572%
[epoch:4, iter:1454] Loss: 1.518 | Acc: 45.557%
[epoch:4, iter:1464] Loss: 1.519 | Acc: 45.457%
[epoch:4, iter:1474] Loss: 1.517 | Acc: 45.484%
[epoch:4, iter:1484] Loss: 1.516 | Acc: 45.541%
[epoch:4, iter:1494] Loss: 1.515 | Acc: 45.568%
[epoch:4, iter:1504] Loss: 1.514 | Acc: 45.605%
[epoch:4, iter:1514] Loss: 1.515 | Acc: 45.553%
[epoch:4, iter:1524] Loss: 1.516 | Acc: 45.528%
[epoch:4, iter:1534] Loss: 1.514 | Acc: 45.618%
[epoch:4, iter:1544] Loss: 1.514 | Acc: 45.628%
[epoch:4, iter:1554] Loss: 1.514 | Acc: 45.651%
[epoch:4, iter:1564] Loss: 1.515 | Acc: 45.622%
Waiting Test...
Test's ac is: 45.460%

Epoch: 5
[epoch:5, iter:1565] Loss: 1.498 | Acc: 49.219%
[epoch:5, iter:1575] Loss: 1.488 | Acc: 44.318%
[epoch:5, iter:1585] Loss: 1.500 | Acc: 44.531%
[epoch:5, iter:1595] Loss: 1.493 | Acc: 45.388%
[epoch:5, iter:1605] Loss: 1.491 | Acc: 45.941%
[epoch:5, iter:1615] Loss: 1.491 | Acc: 46.492%
[epoch:5, iter:1625] Loss: 1.490 | Acc: 46.452%
[epoch:5, iter:1635] Loss: 1.497 | Acc: 46.270%
[epoch:5, iter:1645] Loss: 1.499 | Acc: 46.142%
[epoch:5, iter:1655] Loss: 1.497 | Acc: 46.240%
[epoch:5, iter:1665] Loss: 1.492 | Acc: 46.287%
[epoch:5, iter:1675] Loss: 1.490 | Acc: 46.291%
[epoch:5, iter:1685] Loss: 1.491 | Acc: 46.275%
[epoch:5, iter:1695] Loss: 1.489 | Acc: 46.320%
[epoch:5, iter:1705] Loss: 1.487 | Acc: 46.393%
[epoch:5, iter:1715] Loss: 1.489 | Acc: 46.264%
[epoch:5, iter:1725] Loss: 1.489 | Acc: 46.215%
[epoch:5, iter:1735] Loss: 1.489 | Acc: 46.231%
[epoch:5, iter:1745] Loss: 1.487 | Acc: 46.340%
[epoch:5, iter:1755] Loss: 1.484 | Acc: 46.380%
[epoch:5, iter:1765] Loss: 1.485 | Acc: 46.385%
[epoch:5, iter:1775] Loss: 1.484 | Acc: 46.405%
[epoch:5, iter:1785] Loss: 1.482 | Acc: 46.451%
[epoch:5, iter:1795] Loss: 1.482 | Acc: 46.405%
[epoch:5, iter:1805] Loss: 1.482 | Acc: 46.421%
[epoch:5, iter:1815] Loss: 1.482 | Acc: 46.473%
[epoch:5, iter:1825] Loss: 1.482 | Acc: 46.522%
[epoch:5, iter:1835] Loss: 1.481 | Acc: 46.569%
[epoch:5, iter:1845] Loss: 1.482 | Acc: 46.522%
[epoch:5, iter:1855] Loss: 1.482 | Acc: 46.491%
[epoch:5, iter:1865] Loss: 1.482 | Acc: 46.493%
[epoch:5, iter:1875] Loss: 1.480 | Acc: 46.518%
[epoch:5, iter:1885] Loss: 1.481 | Acc: 46.490%
[epoch:5, iter:1895] Loss: 1.481 | Acc: 46.528%
[epoch:5, iter:1905] Loss: 1.480 | Acc: 46.529%
[epoch:5, iter:1915] Loss: 1.480 | Acc: 46.541%
[epoch:5, iter:1925] Loss: 1.480 | Acc: 46.509%
[epoch:5, iter:1935] Loss: 1.479 | Acc: 46.546%
[epoch:5, iter:1945] Loss: 1.480 | Acc: 46.535%
[epoch:5, iter:1955] Loss: 1.479 | Acc: 46.572%
Waiting Test...
Test's ac is: 46.070%

Epoch: 6
[epoch:6, iter:1956] Loss: 1.547 | Acc: 45.312%
[epoch:6, iter:1966] Loss: 1.461 | Acc: 47.230%
[epoch:6, iter:1976] Loss: 1.466 | Acc: 47.247%
[epoch:6, iter:1986] Loss: 1.479 | Acc: 46.825%
[epoch:6, iter:1996] Loss: 1.471 | Acc: 46.665%
[epoch:6, iter:2006] Loss: 1.470 | Acc: 46.783%
[epoch:6, iter:2016] Loss: 1.474 | Acc: 46.632%
[epoch:6, iter:2026] Loss: 1.470 | Acc: 47.106%
[epoch:6, iter:2036] Loss: 1.470 | Acc: 47.242%
[epoch:6, iter:2046] Loss: 1.462 | Acc: 47.682%
[epoch:6, iter:2056] Loss: 1.469 | Acc: 47.494%
[epoch:6, iter:2066] Loss: 1.466 | Acc: 47.501%
[epoch:6, iter:2076] Loss: 1.465 | Acc: 47.495%
[epoch:6, iter:2086] Loss: 1.463 | Acc: 47.501%
[epoch:6, iter:2096] Loss: 1.464 | Acc: 47.407%
[epoch:6, iter:2106] Loss: 1.465 | Acc: 47.139%
[epoch:6, iter:2116] Loss: 1.467 | Acc: 47.089%
[epoch:6, iter:2126] Loss: 1.468 | Acc: 47.167%
[epoch:6, iter:2136] Loss: 1.469 | Acc: 47.086%
[epoch:6, iter:2146] Loss: 1.467 | Acc: 47.120%
[epoch:6, iter:2156] Loss: 1.467 | Acc: 47.003%
[epoch:6, iter:2166] Loss: 1.466 | Acc: 47.082%
[epoch:6, iter:2176] Loss: 1.465 | Acc: 47.105%
[epoch:6, iter:2186] Loss: 1.464 | Acc: 47.169%
[epoch:6, iter:2196] Loss: 1.461 | Acc: 47.245%
[epoch:6, iter:2206] Loss: 1.459 | Acc: 47.292%
[epoch:6, iter:2216] Loss: 1.459 | Acc: 47.321%
[epoch:6, iter:2226] Loss: 1.459 | Acc: 47.342%
[epoch:6, iter:2236] Loss: 1.461 | Acc: 47.328%
[epoch:6, iter:2246] Loss: 1.461 | Acc: 47.329%
[epoch:6, iter:2256] Loss: 1.459 | Acc: 47.404%
[epoch:6, iter:2266] Loss: 1.461 | Acc: 47.400%
[epoch:6, iter:2276] Loss: 1.461 | Acc: 47.391%
